ENCFF	ChIP-CellLine	TF-Target	Enh-CellLine	Total_Bin_Size	Enh_Bin_Size	Rand_Bind_Size	TotalPeaks	PeakOverlap	PeakOverlap_Rand
ENCFF732IRT	K562	PCBP2	MCF7	2959575	16434	25000	2586	172	20
ENCFF732NHA	HepG2	E2F5	MCF7	2959575	16434	25000	7180	1347	53
ENCFF732ZNB	K562	TCF7L2	MCF7	2959575	16434	25000	2095	368	10
ENCFF734FBR	MCF-7	LARP7	MCF7	2959575	16434	25000	422	21	5
ENCFF736FGN	K562	HDAC6	MCF7	2959575	16434	25000	1491	171	6
ENCFF736XUU	K562	TCF7	MCF7	2959575	16434	25000	5506	883	52
ENCFF737MXG	HepG2	THRA	MCF7	2959575	16434	25000	28215	3813	217
ENCFF737RZJ	MCF-7	TSC22D2	MCF7	2959575	16434	25000	4369	611	32
ENCFF738IQL	K562	ZNF257	MCF7	2959575	16434	25000	4198	377	29
ENCFF738XMN	K562	SUPT5H	MCF7	2959575	16434	25000	29352	3660	216
ENCFF739AJO	K562	ADNP	MCF7	2959575	16434	25000	21873	989	176
ENCFF740MEN	MCF-7	BRCA2	MCF7	2959575	16434	25000	3794	1491	21
ENCFF741FZG	K562	SP2	MCF7	2959575	16434	25000	3439	549	19
ENCFF741QVY	HepG2	ZNF614	MCF7	2959575	16434	25000	24585	3698	198
ENCFF742LSD	K562	HDAC3	MCF7	2959575	16434	25000	10769	1074	90
ENCFF743AUT	HepG2	ZFP37	MCF7	2959575	16434	25000	9682	1735	83
ENCFF743CDY	HepG2	ZMYM2	MCF7	2959575	16434	25000	20566	2262	160
ENCFF743JJF	K562	PATZ1	MCF7	2959575	16434	25000	2431	444	25
ENCFF744HGY	HepG2	NPAS2	MCF7	2959575	16434	25000	1397	186	15
ENCFF744HVD	K562	USF2	MCF7	2959575	16434	25000	3623	433	31
ENCFF745JFN	HepG2	GLMP	MCF7	2959575	16434	25000	1067	166	4
ENCFF746GDG	K562	NR2F1	MCF7	2959575	16434	25000	36251	2965	309
