ENCFF	ChIP-CellLine	TF-Target	Enh-CellLine	Total_Bin_Size	Enh_Bin_Size	Rand_Bind_Size	TotalPeaks	PeakOverlap	PeakOverlap_Rand
ENCFF155CEQ	HepG2	RAD21	A549	2959575	18142	25000	41314	1908	365
ENCFF155LGO	A549	CEBPB	A549	2959575	18142	25000	17272	3558	149
ENCFF155NXO	HepG2	ZNF704	A549	2959575	18142	25000	11067	4008	82
ENCFF156EZP	K562	ZNF655	A549	2959575	18142	25000	802	123	8
ENCFF156GHD	K562	CC2D1A	A549	2959575	18142	25000	22681	2388	187
ENCFF156UNQ	HepG2	HMG20A	A549	2959575	18142	25000	25843	3437	224
ENCFF158BJH	HepG2	GATAD2A	A549	2959575	18142	25000	55148	7410	448
ENCFF158YBV	MCF-7	GABPA	A549	2959575	18142	25000	4110	1589	33
ENCFF159END	K562	ZNF717	A549	2959575	18142	25000	1552	348	17
ENCFF160KBR	MCF-7	RCOR1	A549	2959575	18142	25000	8286	1416	66
ENCFF160TJG	MCF-7	ZBTB40	A549	2959575	18142	25000	14167	2504	139
ENCFF161TZL	HepG2	JARID2	A549	2959575	18142	25000	5179	1770	44
ENCFF162UZN	HepG2	ADNP	A549	2959575	18142	25000	7736	1175	58
ENCFF162YBD	HepG2	PROX1	A549	2959575	18142	25000	31404	3926	251
ENCFF163LGN	HepG2	FOXP4	A549	2959575	18142	25000	35681	6017	288
ENCFF164JZB	HepG2	RFX3	A549	2959575	18142	25000	5769	1314	59
ENCFF165EYN	HepG2	HBP1	A549	2959575	18142	25000	15244	4542	127
ENCFF165IYE	HepG2	PAWR	A549	2959575	18142	25000	3905	1461	25
ENCFF165JQS	K562	ZNF778	A549	2959575	18142	25000	288	14	2
ENCFF165MOD	HepG2	ARID2	A549	2959575	18142	25000	13698	3779	102
ENCFF166QJY	HepG2	NFYA	A549	2959575	18142	25000	17619	5105	144
ENCFF167CQF	K562	EP400	A549	2959575	18142	25000	34356	8752	326
ENCFF169AWH	K562	ZNF134	A549	2959575	18142	25000	6646	888	49
ENCFF169BSN	A549	HDAC2	A549	2959575	18142	25000	4049	1096	24
ENCFF169MAE	K562	NFIC	A549	2959575	18142	25000	51838	5511	420
ENCFF169QCM	A549	ELF1	A549	2959575	18142	25000	11625	5149	74
ENCFF169QYL	K562	ZNF165	A549	2959575	18142	25000	3471	765	30
ENCFF170GIQ	HepG2	ZNF652	A549	2959575	18142	25000	16066	2141	135
ENCFF171NEU	K562	SP1	A549	2959575	18142	25000	7890	2260	64
ENCFF171VVS	HepG2	GTF2F1	A549	2959575	18142	25000	5982	2149	54
ENCFF172LIW	HepG2	ATF7-NPFF	A549	2959575	18142	25000	17541	5905	135
ENCFF173QUY	K562	E2F5	A549	2959575	18142	25000	5214	1709	41
ENCFF174JHS	HepG2	PATZ1	A549	2959575	18142	25000	44192	9120	370
ENCFF175FFY	HepG2	POGZ	A549	2959575	18142	25000	34541	6802	278
ENCFF176MDV	K562	SAFB2	A549	2959575	18142	25000	63	5	1
ENCFF179LFO	HepG2	SNAI1	A549	2959575	18142	25000	10856	3656	86
ENCFF179WDI	A549	RFX5	A549	2959575	18142	25000	6460	2553	68
ENCFF180KAV	K562	HEY1	A549	2959575	18142	25000	2703	475	15
ENCFF180WMP	HepG2	ZBTB37	A549	2959575	18142	25000	8181	1772	62
ENCFF180XUM	K562	ZNF3	A549	2959575	18142	25000	2432	538	14
ENCFF180XXZ	MCF-7	MTA2	A549	2959575	18142	25000	1205	82	11
ENCFF182FNR	HepG2	SAP130	A549	2959575	18142	25000	69977	13310	569
ENCFF184PHK	MCF-7	CUX1	A549	2959575	18142	25000	13440	1269	116
ENCFF185KMK	K562	HMGXB4	A549	2959575	18142	25000	8859	3235	80
ENCFF185UUT	MCF-7	ESR1	A549	2959575	18142	25000	22011	2558	192
ENCFF186RPU	HepG2	ZNF225	A549	2959575	18142	25000	12374	3911	92
ENCFF187BVL	K562	STAT5A	A549	2959575	18142	25000	13172	1157	123
ENCFF187WJM	HepG2	ATM	A549	2959575	18142	25000	1266	88	7
ENCFF188PLS	K562	MECOM	A549	2959575	18142	25000	9833	1058	85
ENCFF189OHQ	K562	EHMT2	A549	2959575	18142	25000	17353	1243	141
ENCFF189PKJ	HepG2	ZNF883	A549	2959575	18142	25000	16485	5144	138
ENCFF189UXQ	HepG2	TOE1	A549	2959575	18142	25000	3345	328	23
ENCFF190LEQ	HepG2	GZF1	A549	2959575	18142	25000	9799	2856	78
ENCFF191NVV	HepG2	ETS1	A549	2959575	18142	25000	9317	2219	68
ENCFF192ASP	K562	ATF2	A549	2959575	18142	25000	41800	2103	372
ENCFF192BPQ	MCF-7	ZBTB1	A549	2959575	18142	25000	1022	93	9
