ENCFF	ChIP-CellLine	TF-Target	Enh-CellLine	Total_Bin_Size	Enh_Bin_Size	Rand_Bind_Size	TotalPeaks	PeakOverlap	PeakOverlap_Rand
ENCFF435MHH	K562	ZNF212	K562	2959575	15496	25000	2440	853	25
ENCFF435SNP	K562	ZBTB26	K562	2959575	15496	25000	8432	2050	85
ENCFF435UDQ	MCF-7	ZNF8	K562	2959575	15496	25000	1598	56	17
ENCFF436DME	K562	MEF2D	K562	2959575	15496	25000	14655	5072	128
ENCFF436SNU	HepG2	SOX6	K562	2959575	15496	25000	1146	13	2
ENCFF437PVG	HepG2	SALL2	K562	2959575	15496	25000	18174	2630	149
ENCFF437XMN	HepG2	ZNF780A	K562	2959575	15496	25000	6859	1025	47
ENCFF438BWN	K562	NCOA6	K562	2959575	15496	25000	4660	1295	24
ENCFF438IYI	K562	TFAP4	K562	2959575	15496	25000	43434	8671	345
ENCFF438MZI	HepG2	ZHX3	K562	2959575	15496	25000	6775	1197	52
ENCFF439CGG	HepG2	KDM1A	K562	2959575	15496	25000	51849	4129	439
ENCFF439SWX	A549	ZNF624	K562	2959575	15496	25000	6657	940	50
ENCFF439TJM	K562	MAFK	K562	2959575	15496	25000	27238	4466	248
ENCFF440AQF	K562	MNT	K562	2959575	15496	25000	29142	7359	232
ENCFF440JOS	HepG2	ATF3	K562	2959575	15496	25000	4238	827	40
ENCFF441QXF	K562	SLC30A9	K562	2959575	15496	25000	584	133	4
ENCFF442AHG	HepG2	ZNF527	K562	2959575	15496	25000	10220	1412	83
ENCFF442RYH	K562	ZNF431	K562	2959575	15496	25000	10129	1915	81
ENCFF442ZRY	HepG2	ZNF383	K562	2959575	15496	25000	5819	830	41
ENCFF443BGE	K562	ZNF449	K562	2959575	15496	25000	4866	1725	39
ENCFF443WEJ	MCF-7	ZHX2	K562	2959575	15496	25000	8928	1517	54
ENCFF445CZX	HepG2	CHCHD3	K562	2959575	15496	25000	7207	933	63
ENCFF445FCL	HepG2	HINFP	K562	2959575	15496	25000	14281	2011	114
ENCFF445RVR	HepG2	BRCA1	K562	2959575	15496	25000	2052	461	14
ENCFF449JMB	K562	HIVEP1	K562	2959575	15496	25000	4463	1602	47
ENCFF450BWT	HepG2	ZNF674	K562	2959575	15496	25000	5058	732	28
ENCFF451IBG	HepG2	ZNF567	K562	2959575	15496	25000	10271	1469	68
ENCFF451LLC	K562	ZNF83	K562	2959575	15496	25000	11163	4200	93
ENCFF451VTH	HepG2	ZNF276	K562	2959575	15496	25000	10720	1581	91
ENCFF453MMH	K562	KLF13	K562	2959575	15496	25000	9106	2713	82
ENCFF453UVV	HepG2	LCOR	K562	2959575	15496	25000	36736	3601	311
ENCFF453YPR	HepG2	SOX13	K562	2959575	15496	25000	49065	3648	419
ENCFF455PZT	HepG2	BAZ2A	K562	2959575	15496	25000	18828	2474	147
ENCFF455TXX	HepG2	ZNF546	K562	2959575	15496	25000	11514	1582	87
ENCFF455YMK	HepG2	SNRNP70	K562	2959575	15496	25000	301	22	0
ENCFF456EDK	HepG2	CENPBD1	K562	2959575	15496	25000	2723	453	25
ENCFF456FTV	MCF-7	POLR2A	K562	2959575	15496	25000	23552	2667	183
ENCFF456USL	K562	CEBPG	K562	2959575	15496	25000	40381	3547	366
ENCFF457BJI	HepG2	RBM22	K562	2959575	15496	25000	35730	1318	279
ENCFF458FBS	HepG2	ZNF786	K562	2959575	15496	25000	10271	1564	74
ENCFF458IBK	HepG2	ZBTB44	K562	2959575	15496	25000	5282	862	43
ENCFF458PBB	HepG2	MAFK	K562	2959575	15496	25000	46307	1413	409
ENCFF458VJS	HepG2	TRIM22	K562	2959575	15496	25000	1261	26	13
ENCFF460DRP	HepG2	ZSCAN25	K562	2959575	15496	25000	20244	2338	140
ENCFF462RVE	HepG2	ZNF782	K562	2959575	15496	25000	11696	1628	83
ENCFF463GXC	HepG2	ATF6	K562	2959575	15496	25000	5168	873	44
ENCFF463QUS	HepG2	HNRNPLL	K562	2959575	15496	25000	27354	3089	217
ENCFF464GFC	MCF-7	SPDEF	K562	2959575	15496	25000	22791	2272	169
ENCFF464WKR	HepG2	ZNF597	K562	2959575	15496	25000	1368	231	9
ENCFF466PKS	K562	ZNF766	K562	2959575	15496	25000	27026	7910	223
ENCFF467WXB	HepG2	SP140L	K562	2959575	15496	25000	6804	1069	64
ENCFF468WZL	HepG2	ZNF530	K562	2959575	15496	25000	1826	243	8
ENCFF469DNJ	A549	RNF2	K562	2959575	15496	25000	4492	229	35
ENCFF469JVY	HepG2	DNMT3B	K562	2959575	15496	25000	9533	1563	74
ENCFF470CSE	K562	CBX1	K562	2959575	15496	25000	14600	2984	103
ENCFF472DLA	HepG2	XBP1	K562	2959575	15496	25000	3996	711	29
ENCFF473NCJ	K562	RERE	K562	2959575	15496	25000	3007	687	18
ENCFF473UHQ	MCF-7	PAX8	K562	2959575	15496	25000	2663	130	14
ENCFF475HLY	HepG2	TEF	K562	2959575	15496	25000	7952	989	66
ENCFF477JRZ	HepG2	STAG1	K562	2959575	15496	25000	55855	3368	493
ENCFF477OUI	HepG2	ARID5B	K562	2959575	15496	25000	58736	4658	496
ENCFF478LQC	K562	MTA2	K562	2959575	15496	25000	14735	5284	105
ENCFF478MAJ	K562	MTF1	K562	2959575	15496	25000	1841	548	15
ENCFF479SOJ	K562	RB1	K562	2959575	15496	25000	24353	4863	222
ENCFF480XAU	MCF-7	HDGF	K562	2959575	15496	25000	2232	158	15
